PostalCode;AdmArea;District;Address;X_WGS84;Y_WGS84
101000;Центральный административный округ;Басманный район;Мясницкая улица, дом 26;37,637168;55,763861
123001;Центральный административный округ;Пресненский район;улица Спиридоновка, дом 27/24;37,588373;55,763037
119002;Центральный административный округ;район Арбат;улица Арбат, дом 47;37,587558;55,748001
109004;Центральный административный округ;Таганский район;улица Александра Солженицына, дом 24/28;37,662662;55,743727
105005;Центральный административный округ;Басманный район;Бауманская улица, дом 38;37.677749;55.771255
127006;Центральный административный округ;Тверской район;Садовая-Каретная улица, дом 10/5;37,608139;55,772317
123007;Северный административный округ;Хорошёвский район;Хорошёвское шоссе, дом 11;37,534226;55,775343
125008;Северный административный округ;район Коптево;Михалковская улица, дом 2;37,539191;55,837483
125009;Центральный административный округ;Тверской район;Тверская улица, дом 7;37,610976;55,757888
109012;Центральный административный округ;Тверской район;Никольская улица, дом 7;37,620389;55,756508
107013;Восточный административный округ;район Сокольники;Малая Остроумовская улица, дом 1А;37,689622;55,794846
107014;Восточный административный округ;район Сокольники;улица Барболина, дом 4;37,686688;55,787235
127015;Северный административный округ;Савёловский район;Бутырская улица, дом 21;37,583063;55,799145
107016;Центральный административный округ;Мещанский район;Неглинная улица, дом 12;37,62089;55,762974
119017;Центральный административный округ;район Якиманка;улица Большая Ордынка, дом 34/38;37,625336;55,733866
127018;Северо-Восточный административный округ;район Марьина Роща;улица Сущёвский Вал, дом 23;37,601346;55,793003
119019;Центральный административный округ;район Арбат;улица Новый Арбат, дом 2;37,599472;55,753239
111020;Юго-Восточный административный округ;район Лефортово;Боровая улица, дом 20;37,716897;55,766902
119021;Центральный административный округ;район Хамовники;Комсомольский проспект, дом 3;37,593514;55,732777
123022;Центральный административный округ;Пресненский район;Звенигородское шоссе, дом 3А;37,556536;55,763541
107023;Восточный административный округ;район Преображенское;Суворовская улица, дом 2/1;37,61729;55,781185
111024;Юго-Восточный административный округ;район Лефортово;шоссе Энтузиастов, дом 22/18;37,717184;55,750886
127025;Центральный административный округ;район Арбат;улица Новый Арбат, дом 19;37,588684;55,751892
125026;Северный административный округ;Войковский район;Ленинградское шоссе, дом 8/2;37,500486;55,816879
119027;Западный административный округ;район Внуково;Большая Внуковская улица, дом 15;37,294174;55,611861
109028;Центральный административный округ;Таганский район;Яузская улица, дом 5/1;37,645094;55,749466
109029;Центральный административный округ;Таганский район;Малая Калитниковская улица, дом 22;37,684245;55,733336
127030;Центральный административный округ;Тверской район;Новослободская улица, дом 11;37,599374;55,779835
107031;Центральный административный округ;Мещанский район;Варсонофьевский переулок, дом 4;37,62483;55,763006
125032;Центральный административный округ;Тверской район;Тверская улица, дом 13;37,608641;55,760999
111033;Юго-Восточный административный округ;район Лефортово;Красноказарменная площадь, дом 1;37,687112;55,758889
119034;Центральный административный округ;район Хамовники;улица Пречистенка, дом 15;37,595612;55,742262
115035;Центральный административный округ;район Замоскворечье;Кадашёвская набережная, дом 36/1;37,625697;55,745744
117036;Юго-Западный административный округ;Академический район;Профсоюзная улица, дом 3;37,572568;55,685429
105037;Восточный административный округ;район Измайлово;Измайловская площадь, дом 11;37,774795;55,794418
125039;Центральный административный округ;Тверской район;площадь Тверская Застава, дом 7;37,581715;55,776111
125040;Северный административный округ;район Аэропорт;Ленинградский проспект, дом 23;37,569258;55,78318
